EventId,Detector0,Detector1,Detector2,Detector3
175.0,1.0,0,34.0,1.0
177.0,4.0,3.0,12.0,8.0
181.0,12.0,120.0,3.0,6.0
183.0,5.0,1.0,47.0,0
184.0,29.0,0,3.0,0
185.0,3.0,0,96.0,1.0
187.0,2.0,0,4.0,30.0
188.0,1.0,0,191.0,1.0
189.0,1.0,0,199.0,2.0
190.0,15.0,1.0,6.0,1.0
191.0,161.0,2.0,3.0,1.0
192.0,7.0,2.0,19.0,1.0
193.0,1.0,1.0,120.0,2.0
194.0,1.0,1.0,138.0,2.0
195.0,1.0,12.0,0,11.0
197.0,9.0,34.0,0,2.0
198.0,1.0,0,35.0,3.0
200.0,66.0,3.0,9.0,1.0
201.0,1.0,4.0,1.0,30.0
203.0,38.0,2.0,6.0,1.0
204.0,3.0,2.0,12.0,26.0
205.0,1.0,1.0,8.0,28.0
206.0,5.0,81.0,0,3.0
207.0,2.0,0,76.0,5.0
208.0,10.0,1.0,6.0,1.0
209.0,4.0,307.0,4.0,5.0
210.0,5.0,185.0,1.0,0
211.0,4.0,2.0,27.0,0
212.0,1.0,4.0,1.0,30.0
213.0,20.0,2.0,20.0,1.0
214.0,1.0,3.0,7.0,84.0
215.0,307.0,1.0,1.0,0
217.0,22.0,0,8.0,0
218.0,3.0,0,41.0,0
219.0,596.0,1.0,3.0,0
221.0,1.0,26.0,1.0,9.0
222.0,9.0,0,37.0,1.0
223.0,7.0,2.0,66.0,0
224.0,3.0,1.0,323.0,2.0
225.0,38.0,4.0,9.0,1.0
226.0,2.0,2.0,21.0,23.0
227.0,4.0,52.0,3.0,1.0
229.0,33.0,8.0,3.0,0
230.0,2.0,1.0,215.0,1.0
231.0,14.0,11.0,0,0
234.0,1.0,5.0,4.0,75.0
235.0,13.0,20.0,1.0,1.0
237.0,1.0,0,59.0,3.0
238.0,14.0,2.0,1.0,1.0
239.0,32.0,0,1.0,0
240.0,2.0,2.0,162.0,3.0
241.0,8.0,9.0,0,0
243.0,152.0,3.0,3.0,0
244.0,151.0,4.0,4.0,1.0
245.0,7.0,13.0,1.0,1.0
246.0,14.0,5.0,34.0,12.0
247.0,22.0,3.0,6.0,2.0
248.0,2.0,13.0,0,4.0
249.0,1.0,1.0,2.0,214.0
250.0,65.0,9.0,5.0,6.0
251.0,23.0,12.0,0,1.0
252.0,4.0,0,29.0,0
253.0,1.0,0,0,356.0
254.0,1.0,45.0,0,1.0
257.0,18.0,5.0,0,0
258.0,5.0,18.0,0,2.0
259.0,2.0,1.0,85.0,2.0
260.0,2.0,0,40.0,2.0
261.0,1.0,3.0,2.0,21.0
263.0,19.0,8.0,3.0,1.0
264.0,1.0,33.0,0,0
267.0,23.0,4.0,12.0,2.0
268.0,1.0,56.0,1.0,1.0
269.0,6.0,2.0,5.0,8.0
270.0,1.0,3.0,8.0,37.0
271.0,18.0,2.0,12.0,2.0
273.0,1.0,0,15.0,7.0
275.0,1.0,42.0,0,1.0
276.0,13.0,17.0,2.0,0
279.0,11.0,11.0,1.0,1.0
280.0,11.0,20.0,4.0,0
283.0,1.0,3.0,2.0,26.0
284.0,6.0,17.0,4.0,2.0
285.0,2.0,1.0,150.0,2.0
286.0,21.0,1.0,10.0,1.0
287.0,17.0,0,2.0,0
288.0,43.0,0,11.0,1.0
290.0,13.0,7.0,7.0,9.0
291.0,2.0,1.0,73.0,3.0
292.0,24.0,8.0,2.0,0
295.0,2.0,161.0,0,4.0
297.0,2.0,31.0,0,1.0
298.0,2.0,31.0,1.0,9.0
302.0,12.0,1.0,12.0,0
303.0,2.0,0,12.0,36.0
304.0,23.0,12.0,3.0,1.0
305.0,1.0,1.0,1.0,25.0
306.0,2.0,0,29.0,0
307.0,1.0,11.0,0,27.0
309.0,43.0,1.0,3.0,1.0
312.0,15.0,4.0,6.0,1.0
314.0,16.0,20.0,1.0,0
315.0,3.0,1.0,19.0,2.0
316.0,2.0,1.0,52.0,1.0
317.0,2.0,1.0,1.0,39.0
318.0,23.0,2.0,15.0,0
320.0,38.0,1.0,9.0,3.0
321.0,9.0,0,10.0,2.0
322.0,1.0,1.0,1.0,25.0
323.0,1.0,11.0,1.0,21.0
325.0,24.0,2.0,19.0,0
326.0,1.0,0,140.0,0
327.0,22.0,0,16.0,0
328.0,32.0,3.0,18.0,1.0
329.0,49.0,0,1.0,0
331.0,2.0,30.0,0,0
332.0,4.0,28.0,3.0,5.0
333.0,2.0,2.0,16.0,17.0
334.0,1.0,3.0,13.0,11.0
335.0,1.0,26.0,3.0,9.0
336.0,1.0,6.0,0,54.0
338.0,3.0,18.0,0,0
340.0,1.0,1.0,8.0,44.0
342.0,4.0,122.0,0,4.0
343.0,23.0,8.0,2.0,1.0
344.0,26.0,0,3.0,0
345.0,3.0,1.0,38.0,5.0
346.0,1.0,2.0,1.0,45.0
347.0,1.0,0,0,56.0
348.0,239.0,7.0,0,1.0
349.0,10.0,2.0,22.0,3.0
350.0,1.0,292.0,0,1.0
351.0,1.0,59.0,0,2.0
352.0,1.0,46.0,1.0,0
