EventId,Detector0,Detector1,Detector2,Detector3,TotalEnergyAllDetectors
0.0,42.68587,107.62353,16.984080000000002,25.86278,193.15626
1.0,8.44772,71.67890999999999,22.3269,42.63155,145.08508
2.0,31.286130000000004,107.40862999999997,17.263260000000002,5.57588,161.5339
3.0,183.49553999999995,11.46763,20.22366,8.53276,223.71958999999998
4.0,39.605599999999995,38.86014000000001,82.50982,34.190450000000006,195.16600999999994
5.0,173.82444,36.59124,40.41126,22.32271,273.14964999999995
6.0,621.5829299999997,22.46763,34.52257,25.718420000000002,704.2915499999999
7.0,71.41376,51.63509,27.93004,29.05676,180.03565
8.0,17.17482,14.797590000000001,79.02241,47.88425,158.87906999999996
9.0,23.01346,17.26206,34.15593,34.5066,108.93805000000005
10.0,68.26148,42.853530000000006,14.144770000000001,22.9459,148.20567999999997
11.0,87.61568,22.963720000000002,8.7509,25.727700000000002,145.05800000000002
12.0,28.17578,25.35418,30.826969999999996,108.60425,192.96118000000007
13.0,11.211099999999998,8.440819999999999,71.59368,28.709090000000003,119.95469000000004
14.0,19.919990000000002,70.57770999999998,31.47753,19.881009999999996,141.85624
15.0,82.75811,19.41204,51.98168000000001,23.066930000000003,177.21876000000003
16.0,23.407600000000002,91.94014999999999,33.95432,33.8895,183.19156999999993
17.0,77.1418,60.011449999999996,22.527749999999997,16.73065,176.41165
18.0,28.94155,33.86448,17.04608,110.38082000000001,190.23292999999998
19.0,22.43157,34.35079,28.238599999999998,162.34418999999994,247.36514999999994
20.0,39.88951,45.386590000000005,67.76874,59.27791,212.32275
21.0,14.19744,19.50758,25.87374,145.04985,204.62860999999998
22.0,22.558639999999997,20.24264,70.80757000000001,14.58256,128.19141
23.0,28.8557,16.557830000000003,11.397319999999999,1546.0686799999992,1602.879529999999
24.0,54.191500000000005,112.03775999999999,11.2652,8.66398,186.15844
25.0,68.29131,31.069280000000003,26.09885,14.38614,139.84558
26.0,17.143349999999998,80.51836,14.72465,48.87467000000001,161.26102999999995
27.0,31.060560000000002,56.67627,28.821479999999998,51.15076999999999,167.70908
28.0,8.3309,82.06522999999999,20.41901,14.34762,125.16275999999999
29.0,28.932910000000003,147.85382,38.24769,22.45993,237.49435000000003
30.0,34.0323,82.79962,20.2698,25.95144,163.05316000000002
31.0,13.863190000000001,2.87799,56.90068999999999,19.87436,93.51623000000001
32.0,19.688840000000003,33.52839,13.824179999999998,208.08533000000017,275.1267399999999
33.0,34.249,340.25433000000004,20.02686,34.21307,428.7432599999999
34.0,8.61022,19.88006,131.36764,22.80601,182.66392999999997
35.0,74.06321999999996,25.33222,34.591840000000005,25.787930000000003,159.77521
36.0,198.46929000000003,53.7313,22.83021,28.68389,303.71468999999996
37.0,29.022440000000003,405.45378,31.873170000000002,20.150190000000002,486.49958000000004
38.0,158.70917999999998,14.638899999999998,20.49655,19.96667,213.8112999999999
39.0,34.069,85.02238999999999,16.78629,14.16985,150.04753000000002
40.0,16.66602,19.42597,60.410990000000005,45.927669999999985,142.43065000000004
