EventId,1stLargest,2ndLargest,3rdLargest,4thLargest
276,14,12,2,0
277,279,2,1,0
278,23,3,0,0
279,10,7,1,1
280,17,10,3,0
281,15,5,0,0
282,28,2,1,0
283,24,2,1,0
284,17,4,3,0
285,145,2,1,0
286,20,9,1,1
287,17,1,0,0
288,41,11,1,0
289,42,6,1,0
290,11,8,5,4
291,70,2,2,1
292,23,7,2,0
293,120,2,1,0
294,22,3,0,0
295,153,4,2,0
296,21,4,0,0
297,26,1,1,0
298,30,7,2,1
299,29,3,1,0
300,21,2,0,0
301,17,10,1,0
302,11,10,1,0
303,35,12,2,0
304,20,11,1,1
305,23,1,1,1
306,26,2,0,0
307,26,10,1,0
308,91,5,0,0
309,40,3,1,1
310,336,2,1,0
311,29,2,0,0
312,15,6,3,1
313,10,8,1,0
314,19,14,1,0
315,17,3,1,0
316,51,1,1,1
317,38,1,1,1
318,21,14,1,0
319,33,4,1,0
320,37,7,3,1
321,10,8,1,0
322,22,1,1,0
323,20,10,1,1
324,12,1,0,0
325,23,16,2,0
326,136,1,0,0
327,20,14,0,0
328,28,18,2,1
329,47,0,0,0
330,15,4,0,0
331,25,1,0,0
332,27,4,3,3
333,17,15,2,2
334,11,8,2,1
335,24,8,3,0
336,52,6,1,0
337,32,7,2,0
338,17,2,0,0
339,19,16,1,0
340,43,8,1,1
341,38,2,0,0
342,115,4,3,0
343,21,7,2,0
344,25,2,0,0
345,36,4,3,0
346,43,2,1,0
347,55,0,0,0
348,227,5,0,0
349,21,9,2,2
350,269,1,1,0
351,56,1,1,0
352,43,1,1,0
353,24,6,1,0
354,37,6,3,0
355,22,17,1,1
356,44,7,2,0
357,121,3,2,0
358,55,8,4,2
359,21,3,1,0
360,61,5,2,1
361,104,2,0,0
362,21,4,0,0
363,92,0,0,0
364,10,7,0,0
365,27,3,1,0
366,29,2,2,1
367,29,13,2,1
368,32,2,1,1
369,11,10,4,2
370,25,1,1,0
371,360,5,2,0
372,48,1,0,0
373,16,3,2,0
374,17,9,0,0
375,10,6,3,1
376,16,0,0,0
377,79,1,1,0
378,14,7,1,0
379,29,8,0,0
380,28,5,1,0
381,51,1,0,0
382,107,4,1,0
383,41,8,0,0
384,12,9,1,0
385,80,1,0,0
386,50,1,0,0
387,28,5,1,1
388,19,13,2,1
389,22,5,0,0
390,35,4,0,0
391,35,5,3,0
392,96,3,1,0
393,37,1,0,0
394,82,1,1,0
395,43,2,0,0
396,20,4,0,0
397,66,1,0,0
398,25,3,2,0
399,48,3,0,0
400,67,4,0,0
401,270,1,0,0
402,40,6,0,0
403,22,9,3,0
404,89,1,0,0
405,38,8,0,0
406,21,6,3,0
407,82,1,0,0
408,33,13,0,0
409,14,9,1,0
410,41,3,1,0
411,24,4,2,1
412,19,7,1,1
413,130,2,1,0
414,45,9,2,0
415,19,1,0,0
416,87,7,2,0
417,30,1,1,0
418,8,3,0,0
419,97,3,1,1
420,40,1,1,0
421,16,2,1,0
422,35,3,2,0
423,43,3,2,1
424,94,1,0,0
425,97,5,3,1
426,17,9,1,1
427,24,7,2,2
428,128,3,1,0
429,33,6,1,0
430,18,10,3,0
431,19,1,0,0
432,21,1,1,0
433,62,6,0,0
434,264,3,1,0
435,132,10,1,1
436,21,3,0,0
437,50,3,1,1
438,17,2,0,0
439,19,8,1,0
440,87,6,3,0
441,14,12,1,0
442,21,2,0,0
443,58,1,1,1
444,37,6,2,1
445,508,2,1,0
446,12,3,0,0
447,33,2,1,0
448,24,1,1,1
449,13,3,1,0
450,177,3,1,0
451,24,7,0,0
452,41,1,1,0
453,13,2,0,0
454,55,4,1,0
455,34,4,2,0
456,14,9,1,0
457,86,8,2,0
458,29,18,8,3
459,26,1,0,0
460,37,5,1,0
461,71,8,2,0
462,116,3,1,1
463,24,12,1,0
464,14,8,5,2
465,22,6,3,2
466,16,1,1,0
467,278,5,1,0
468,18,7,1,0
469,68,3,1,0
470,28,13,4,1
471,83,5,1,0
472,26,4,3,0
473,425,2,1,0
474,24,6,2,1
475,138,3,2,1
476,7,6,5,4
477,14,8,2,2
478,24,4,2,0
479,31,6,2,0
480,17,5,2,0
481,31,6,0,0
482,33,3,1,0
483,174,6,4,0
484,36,2,1,0
485,52,10,2,1
486,24,0,0,0
487,55,1,1,0
488,10,2,1,1
489,62,2,1,0
490,17,10,4,3
491,33,2,1,0
492,27,2,0,0
493,30,2,0,0
494,22,3,1,1
495,428,4,3,0
496,16,0,0,0
497,64,2,1,0
498,170,4,0,0
499,58,4,1,0
500,152,4,1,0
501,22,2,0,0
502,123,1,1,1
503,41,1,0,0
504,56,1,0,0
505,47,5,1,0
506,188,1,1,1
507,28,8,1,0
508,19,4,1,0
509,51,4,2,1
510,34,8,1,0
511,21,7,1,1
512,33,1,0,0
513,22,1,1,0
514,111,3,1,0
515,18,6,0,0
516,70,3,2,0
517,32,2,0,0
518,46,2,0,0
519,28,4,0,0
520,186,3,1,0
521,41,4,0,0
522,49,2,2,0
523,33,0,0,0
524,22,1,0,0
525,35,4,3,2
526,50,3,2,0
527,31,1,0,0
528,68,2,1,0
529,113,10,1,1
530,207,1,0,0
531,15,11,3,2
532,62,4,0,0
533,442,1,1,0
534,78,3,0,0
535,249,1,1,0
536,19,1,0,0
537,18,8,2,1
538,26,1,0,0
539,21,14,4,2
540,32,20,4,1
541,20,13,1,0
542,75,3,0,0
543,26,5,2,2
544,64,1,1,0
545,28,0,0,0
546,16,4,1,0
547,29,0,0,0
548,24,1,1,0
549,25,5,1,1
550,64,1,0,0
551,75,3,1,0
552,32,1,1,0
553,16,3,0,0
554,19,8,2,2
555,13,9,0,0
556,69,8,2,2
557,31,3,0,0
558,19,3,3,0
559,23,2,0,0
560,41,1,0,0
561,21,4,1,0
562,119,2,1,1
563,37,7,2,1
564,66,1,0,0
565,44,10,3,2
566,22,15,1,1
567,57,4,2,1
568,79,14,2,2
569,36,2,1,0
570,160,2,2,1
571,51,10,2,2
572,18,8,1,0
573,26,13,2,0
574,469,4,0,0
